Date,stress,current,salinity,Tempeature
Units:,N/m2,m/s,PSU,degrees
2022-01-01 04:00:00,0.1161,0.1543,36.0037,23.8985
2022-01-01 08:00:00,0.0508,0.1031,36.0100,23.7311
2022-01-01 12:00:00,1.0000,0.0627,36.0165,23.8981
2022-01-01 16:00:00,1.0000,0.1847,36.0218,24.0459
2022-01-01 20:00:00,1.0000,0.1995,36.0230,23.9849
2022-01-02 00:00:00,1.0000,0.2415,36.0266,23.8487
2022-01-02 04:00:00,1.0000,0.1468,36.0307,23.7621
2022-01-02 08:00:00,1.0000,0.0966,36.0362,23.6844
2022-01-02 12:00:00,1.0000,0.0434,36.0394,23.9492
2022-01-02 16:00:00,1.0000,0.1461,36.0452,24.2046
2022-01-02 20:00:00,1.0000,0.1746,36.0374,24.0762
2022-01-03 00:00:00,1.0000,0.1462,36.0393,23.9251
2022-01-03 04:00:00,1.0000,0.0834,36.0453,23.8901
2022-01-03 08:00:00,1.0000,0.0451,36.0532,23.7665
2022-01-03 12:00:00,1.0000,0.0210,36.0570,23.8236
2022-01-03 16:00:00,1.0000,0.0540,36.0632,24.4534
2022-01-03 20:00:00,1.0000,0.0863,36.0588,24.2379
2022-01-04 00:00:00,1.0000,0.0485,36.0572,24.1045
2022-01-04 04:00:00,1.0000,0.0183,36.0660,24.0106
2022-01-04 08:00:00,1.0000,0.0177,36.0827,23.9233
2022-01-04 12:00:00,0.9887,0.0320,36.0676,24.0517
2022-01-04 16:00:00,1.0000,0.0282,36.0644,24.1217
2022-01-04 20:00:00,1.0000,0.0274,36.0645,24.0084
2022-01-05 00:00:00,1.0000,0.0247,36.0621,24.0168
2022-01-05 04:00:00,1.0000,0.0211,36.0951,24.4812
2022-01-05 08:00:00,1.0000,0.0427,36.1187,24.5317
2022-01-05 12:00:00,0.7789,0.0189,36.1158,24.6090
2022-01-05 16:00:00,0.9022,0.0191,36.1102,24.6355
2022-01-05 20:00:00,0.9942,0.0127,36.0918,24.3630
2022-01-06 00:00:00,1.0000,0.0218,36.0846,24.2660
2022-01-06 04:00:00,0.8170,0.0133,36.0863,24.3299
2022-01-06 08:00:00,0.6752,0.0169,36.1030,24.6154
2022-01-06 12:00:00,0.7351,0.0178,36.1031,24.7279
2022-01-06 16:00:00,0.9259,0.0716,36.1183,25.3862
2022-01-06 20:00:00,1.0000,0.1148,36.1146,25.2233
2022-01-07 00:00:00,1.0000,0.0656,36.1142,24.9959
2022-01-07 04:00:00,1.0000,0.0318,36.1185,24.8679
2022-01-07 08:00:00,0.6247,0.0459,36.1405,24.6773
2022-01-07 12:00:00,0.4760,0.0224,36.1545,24.8764
2022-01-07 16:00:00,1.0000,0.0178,36.1479,25.1892
2022-01-07 20:00:00,1.0000,0.0820,36.1280,25.3425
2022-01-08 00:00:00,1.0000,0.0493,36.1318,25.1665
2022-01-08 04:00:00,1.0000,0.0227,36.1564,25.3323
2022-01-08 08:00:00,1.0000,0.0204,36.1587,25.2605
2022-01-08 12:00:00,1.0000,0.0120,36.1525,25.2693
2022-01-08 16:00:00,1.0000,0.1766,36.1609,25.5652
2022-01-08 20:00:00,1.0000,0.2697,36.1060,24.9449
2022-01-09 00:00:00,1.0000,0.2092,36.0629,24.3289
2022-01-09 04:00:00,1.0000,0.1974,36.0674,24.1022
2022-01-09 08:00:00,1.0000,0.1822,36.0753,23.9486
2022-01-09 12:00:00,1.0000,0.1691,36.0399,23.7624
2022-01-09 16:00:00,1.0000,0.2206,36.0322,23.9295
2022-01-09 20:00:00,1.0000,0.2097,36.0215,23.7640
2022-01-10 00:00:00,1.0000,0.1702,36.0655,23.8208
2022-01-10 04:00:00,1.0000,0.0867,36.1317,24.0461
