Time,WaveHeight,WaveDirection,WavePeriod
01/11/2022 00:00:00,0.9495,276.2159,14.0046
01/11/2022 01:00:00,0.9391,276.0785,14.2107
01/11/2022 02:00:00,0.9293,275.7524,14.3637
01/11/2022 03:00:00,0.9398,273.6350,14.5801
01/11/2022 04:00:00,0.9574,271.7617,14.7253
01/11/2022 05:00:00,0.9735,270.2722,14.9003
01/11/2022 06:00:00,0.9801,269.2022,14.9079
01/11/2022 07:00:00,0.9770,268.5816,14.9201
01/11/2022 08:00:00,0.9716,268.0654,14.9454
01/11/2022 09:00:00,0.9694,267.3159,14.9974
01/11/2022 10:00:00,0.9585,267.1045,15.0192
01/11/2022 11:00:00,0.9299,268.1620,14.9912
01/11/2022 12:00:00,0.8810,271.0015,14.9445
01/11/2022 13:00:00,0.8345,273.6327,14.9243
01/11/2022 14:00:00,0.8021,274.9263,14.9136
01/11/2022 15:00:00,0.7757,275.7645,14.9085
01/11/2022 16:00:00,0.7508,276.6034,14.9068
01/11/2022 17:00:00,0.7264,277.4151,14.9059
01/11/2022 18:00:00,0.7064,277.8542,14.9057
01/11/2022 19:00:00,0.6884,278.0301,14.9055
01/11/2022 20:00:00,0.6718,278.1016,14.9053
01/11/2022 21:00:00,0.6563,278.1406,14.9012
01/11/2022 22:00:00,0.6414,278.1876,14.8770
01/11/2022 23:00:00,0.6256,278.2974,14.7830
02/11/2022 00:00:00,0.6102,278.4079,14.6479
02/11/2022 01:00:00,0.5951,278.5891,14.6208
02/11/2022 02:00:00,0.5796,278.8348,14.6036
02/11/2022 03:00:00,0.5715,278.7532,14.6003
02/11/2022 04:00:00,0.5635,278.1347,14.5984
02/11/2022 05:00:00,0.6164,269.2716,14.5812
02/11/2022 06:00:00,0.6560,264.2091,14.5253
02/11/2022 07:00:00,0.6770,261.9718,14.4954
02/11/2022 08:00:00,0.6944,260.3240,14.4958
02/11/2022 09:00:00,0.7027,259.8755,14.5373
02/11/2022 10:00:00,0.6927,260.7322,14.5754
02/11/2022 11:00:00,0.6641,263.4834,14.5832
02/11/2022 12:00:00,0.6153,269.0554,14.5845
02/11/2022 13:00:00,0.5832,273.0158,14.5882
02/11/2022 14:00:00,0.5716,275.2361,14.5928
02/11/2022 15:00:00,0.5629,276.8452,14.5601
02/11/2022 16:00:00,0.5462,278.6011,14.2884
02/11/2022 17:00:00,0.5335,279.4505,14.2208
02/11/2022 18:00:00,0.5267,279.7451,14.0316
02/11/2022 19:00:00,0.5290,279.8119,14.0069
02/11/2022 20:00:00,0.5394,279.9716,14.0172
02/11/2022 21:00:00,0.5642,280.8121,14.2518
02/11/2022 22:00:00,0.6071,282.9234,15.0528
02/11/2022 23:00:00,0.6496,284.7673,16.0327
03/11/2022 00:00:00,0.6839,286.2943,16.8655
03/11/2022 01:00:00,0.7095,287.5562,17.5974
03/11/2022 02:00:00,0.7214,288.1822,17.9977
03/11/2022 03:00:00,0.7182,288.4200,18.0877
03/11/2022 04:00:00,0.7072,288.4382,18.0806
03/11/2022 05:00:00,0.6794,287.3495,18.0103
03/11/2022 06:00:00,0.6562,285.1992,17.7146
03/11/2022 07:00:00,0.6552,283.1683,17.5966
03/11/2022 08:00:00,0.6577,281.6998,17.1592
03/11/2022 09:00:00,0.6622,280.8008,16.9986
03/11/2022 10:00:00,0.6881,278.4123,16.8305
03/11/2022 11:00:00,0.7019,277.1815,16.7599
03/11/2022 12:00:00,0.7017,277.5799,16.6759
03/11/2022 13:00:00,0.7011,277.6916,16.6385
03/11/2022 14:00:00,0.7069,276.8986,16.5409
03/11/2022 15:00:00,0.7137,276.1700,16.3341
03/11/2022 16:00:00,0.7172,275.9403,16.1797
03/11/2022 17:00:00,0.7225,275.4746,15.8529
03/11/2022 18:00:00,0.7374,274.2681,15.5203
03/11/2022 19:00:00,0.7472,274.1836,15.3858
03/11/2022 20:00:00,0.7530,274.5402,15.2958
03/11/2022 21:00:00,0.7772,273.2120,15.2581
03/11/2022 22:00:00,0.8184,270.9980,15.1858
03/11/2022 23:00:00,0.8459,270.1700,15.1830
04/11/2022 00:00:00,0.8437,270.8532,15.1715
04/11/2022 01:00:00,0.8359,271.4510,15.0953
04/11/2022 02:00:00,0.8338,271.7968,15.0800
04/11/2022 03:00:00,0.8322,271.9041,15.0467
04/11/2022 04:00:00,0.8272,271.8711,14.8946
04/11/2022 05:00:00,0.8330,271.2511,14.6935
04/11/2022 06:00:00,0.8662,268.9203,14.5555
04/11/2022 07:00:00,0.9007,266.9563,14.2308
04/11/2022 08:00:00,0.9201,266.6022,14.0139
04/11/2022 09:00:00,0.9255,267.2009,13.9840
04/11/2022 10:00:00,0.9196,267.8841,13.8771
04/11/2022 11:00:00,0.9226,268.1333,13.8620
04/11/2022 12:00:00,0.9134,269.0718,13.8016
04/11/2022 13:00:00,0.9014,270.4459,13.7867
04/11/2022 14:00:00,0.9026,270.7256,13.7848
04/11/2022 15:00:00,0.8900,272.0660,13.7763
04/11/2022 16:00:00,0.8733,273.4524,13.7241
04/11/2022 17:00:00,0.8720,274.3886,13.7522
04/11/2022 18:00:00,0.8737,275.1139,13.8280
04/11/2022 19:00:00,0.8774,275.8773,14.0164
04/11/2022 20:00:00,0.8903,276.6077,14.6249
04/11/2022 21:00:00,0.9037,277.2599,15.1337
04/11/2022 22:00:00,0.9076,277.9450,15.3496
04/11/2022 23:00:00,0.9059,278.7012,15.7061
05/11/2022 00:00:00,0.8943,279.4598,16.0163
05/11/2022 01:00:00,0.8763,279.8370,16.0349
05/11/2022 02:00:00,0.8511,280.0270,16.0047
05/11/2022 03:00:00,0.8135,279.7070,15.9066
05/11/2022 04:00:00,0.8952,270.4499,15.6130
05/11/2022 05:00:00,0.9626,265.9996,15.5092
05/11/2022 06:00:00,0.9886,264.4189,15.3178
05/11/2022 07:00:00,1.0112,263.6052,15.2880
05/11/2022 08:00:00,1.0187,263.5669,15.1900
05/11/2022 09:00:00,1.0340,263.6542,15.1832
05/11/2022 10:00:00,1.0289,264.7949,15.1841
05/11/2022 11:00:00,1.0070,266.9886,15.1758
05/11/2022 12:00:00,0.9753,270.1096,15.1001
05/11/2022 13:00:00,0.9491,272.7419,15.0765
05/11/2022 14:00:00,0.9315,274.2022,14.9574
05/11/2022 15:00:00,0.9195,274.8194,14.8033
05/11/2022 16:00:00,0.9013,275.1125,14.5164
05/11/2022 17:00:00,0.8773,275.4631,14.2224
05/11/2022 18:00:00,0.8516,275.9688,14.0564
05/11/2022 19:00:00,0.8295,276.6582,14.0093
05/11/2022 20:00:00,0.8089,277.6473,14.0025
05/11/2022 21:00:00,0.7826,278.4336,13.9957
05/11/2022 22:00:00,0.7491,279.0033,13.9696
05/11/2022 23:00:00,0.7170,279.5834,13.8990
06/11/2022 00:00:00,0.6920,279.8677,13.8744
06/11/2022 01:00:00,0.6736,280.0146,13.8690
06/11/2022 02:00:00,0.6583,280.2622,13.8631
06/11/2022 03:00:00,0.6488,280.8846,13.8183
06/11/2022 04:00:00,0.6295,280.4610,13.7890
06/11/2022 05:00:00,0.6959,269.5125,13.7831
06/11/2022 06:00:00,0.7872,262.5333,13.7815
06/11/2022 07:00:00,0.8199,261.6820,13.7758
06/11/2022 08:00:00,0.8471,261.6831,13.7243
06/11/2022 09:00:00,0.8889,261.0183,13.6908
06/11/2022 10:00:00,0.9062,262.4330,13.6867
06/11/2022 11:00:00,0.9349,264.7809,13.6900
06/11/2022 12:00:00,0.9710,266.4325,13.6891
06/11/2022 13:00:00,0.9872,267.9604,13.6870
06/11/2022 14:00:00,0.9775,270.1634,13.6898
06/11/2022 15:00:00,0.9642,271.5846,13.6941
06/11/2022 16:00:00,0.9543,272.1769,13.6976
06/11/2022 17:00:00,0.9395,273.1435,13.6975
06/11/2022 18:00:00,0.9310,273.8266,13.6925
06/11/2022 19:00:00,0.9305,274.0267,13.6825
06/11/2022 20:00:00,0.9259,274.2912,13.6759
06/11/2022 21:00:00,0.9175,274.5228,13.6718
06/11/2022 22:00:00,0.9032,274.8222,13.6637
06/11/2022 23:00:00,0.8836,275.2888,13.5982
07/11/2022 00:00:00,0.8670,275.6749,13.5213
07/11/2022 01:00:00,0.8641,275.0555,13.4965
07/11/2022 02:00:00,0.8770,273.3670,13.4974
07/11/2022 03:00:00,0.9162,270.8655,13.5003
07/11/2022 04:00:00,0.9497,269.5714,13.5030
07/11/2022 05:00:00,0.9456,270.5216,13.5055
07/11/2022 06:00:00,0.9671,269.5557,13.5068
07/11/2022 07:00:00,0.9892,269.0145,13.5123
07/11/2022 08:00:00,1.0005,269.1101,13.5864
07/11/2022 09:00:00,1.0018,269.8440,13.6830
07/11/2022 10:00:00,1.0118,269.7988,13.7050
07/11/2022 11:00:00,1.0098,270.9933,13.7792
07/11/2022 12:00:00,1.0273,270.6540,13.7835
