Date,SAL,TSS,DO,AMM,NIT,FRP,FRPADS,POC,DOC,PON,DON,POP,DOP,CHLA,ZEROS,ONES
01/01/1980 00:00:00,35.7103,0.3141,226.6568,0.1525,0.3140,0.1038,0.0104,21.8827,4.3765,3.3031,0.6606,0.2064,0.0413,0.4786,0,1
01/02/1980 00:00:00,35.6821,0.3693,224.0768,0.0897,0.2646,0.0732,0.0073,20.5787,4.1157,3.1062,0.6212,0.1941,0.0388,0.5052,0,1
01/03/1980 00:00:00,35.6725,0.3217,222.2116,0.0892,0.2224,0.0832,0.0083,22.4886,4.4977,3.3945,0.6789,0.2122,0.0424,0.5693,0,1
01/04/1980 00:00:00,35.6052,0.3680,219.4638,0.1426,0.3310,0.1093,0.0109,22.1135,4.4227,3.3379,0.6676,0.2086,0.0417,0.6991,0,1
01/05/1980 00:00:00,35.4963,0.4014,220.4256,0.1730,0.3679,0.1027,0.0103,24.3319,4.8664,3.6727,0.7345,0.2295,0.0459,0.7689,0,1
01/06/1980 00:00:00,35.3966,0.5053,224.5576,0.1906,0.4617,0.0995,0.0100,25.7208,5.1442,3.8824,0.7765,0.2426,0.0485,0.6971,0,1
01/07/1980 00:00:00,35.3760,0.5597,227.4837,0.1378,0.2931,0.0977,0.0098,27.6652,5.5330,4.1759,0.8352,0.2610,0.0522,0.7139,0,1
01/08/1980 00:00:00,35.3699,0.5585,231.0135,0.1108,0.1650,0.1003,0.0100,30.0263,6.0053,4.5323,0.9065,0.2833,0.0567,0.6846,0,1
01/09/1980 00:00:00,35.4500,0.5104,232.5063,0.0739,0.1519,0.0918,0.0092,28.7928,5.7586,4.3461,0.8692,0.2716,0.0543,0.8795,0,1
01/10/1980 00:00:00,35.5199,0.4846,233.1453,0.0829,0.1264,0.0980,0.0098,29.4322,5.8864,4.4426,0.8885,0.2777,0.0555,0.5069,0,1
01/11/1980 00:00:00,35.5861,0.3987,232.8167,0.0544,0.1267,0.0882,0.0088,27.2138,5.4428,4.1077,0.8215,0.2567,0.0513,0.4592,0,1
01/12/1980 00:00:00,35.6651,0.3542,229.0819,0.0774,0.1449,0.0930,0.0093,25.8249,5.1650,3.8981,0.7796,0.2436,0.0487,0.4101,0,1
01/01/1981 00:00:00,35.7103,0.3141,226.6568,0.1525,0.3140,0.1038,0.0104,23.8805,4.7761,3.6046,0.7209,0.2253,0.0451,0.4786,0,1
01/02/1981 00:00:00,35.6821,0.3693,224.0768,0.0897,0.2646,0.0732,0.0073,21.5194,4.3039,3.2482,0.6496,0.2030,0.0406,0.5052,0,1
01/03/1981 00:00:00,35.6725,0.3217,222.2116,0.0892,0.2224,0.0832,0.0083,22.7528,4.5506,3.4344,0.6869,0.2146,0.0429,0.5693,0,1
01/04/1981 00:00:00,35.6052,0.3680,219.4638,0.1426,0.3310,0.1093,0.0109,22.1135,4.4227,3.3379,0.6676,0.2086,0.0417,0.6991,0,1
01/05/1981 00:00:00,35.4963,0.4014,220.4256,0.1730,0.3679,0.1027,0.0103,24.3319,4.8664,3.6727,0.7345,0.2295,0.0459,0.7689,0,1
01/06/1981 00:00:00,35.3966,0.5053,224.5576,0.1906,0.4617,0.0995,0.0100,25.7208,5.1442,3.8824,0.7765,0.2426,0.0485,0.6971,0,1
01/07/1981 00:00:00,35.3760,0.5597,227.4837,0.1378,0.2931,0.0977,0.0098,27.6652,5.5330,4.1759,0.8352,0.2610,0.0522,0.7139,0,1
01/08/1981 00:00:00,35.3699,0.5585,231.0135,0.1108,0.1650,0.1003,0.0100,30.0263,6.0053,4.5323,0.9065,0.2833,0.0567,0.6846,0,1
01/09/1981 00:00:00,35.4500,0.5104,232.5063,0.0739,0.1519,0.0918,0.0092,28.7928,5.7586,4.3461,0.8692,0.2716,0.0543,0.8795,0,1
01/10/1981 00:00:00,35.5199,0.4846,233.1453,0.0829,0.1264,0.0980,0.0098,29.4322,5.8864,4.4426,0.8885,0.2777,0.0555,0.5069,0,1
01/11/1981 00:00:00,35.5861,0.3987,232.8167,0.0544,0.1267,0.0882,0.0088,27.2138,5.4428,4.1077,0.8215,0.2567,0.0513,0.4592,0,1
01/12/1981 00:00:00,35.6651,0.3542,229.0819,0.0774,0.1449,0.0930,0.0093,25.8249,5.1650,3.8981,0.7796,0.2436,0.0487,0.4101,0,1
01/01/1982 00:00:00,35.7103,0.3141,226.6568,0.1525,0.3140,0.1038,0.0104,23.8805,4.7761,3.6046,0.7209,0.2253,0.0451,0.4786,0,1
01/02/1982 00:00:00,35.6821,0.3693,224.0768,0.0897,0.2646,0.0732,0.0073,21.5194,4.3039,3.2482,0.6496,0.2030,0.0406,0.5052,0,1
01/03/1982 00:00:00,35.6725,0.3217,222.2116,0.0892,0.2224,0.0832,0.0083,22.7528,4.5506,3.4344,0.6869,0.2146,0.0429,0.5693,0,1
01/04/1982 00:00:00,35.6052,0.3680,219.4638,0.1426,0.3310,0.1093,0.0109,22.1135,4.4227,3.3379,0.6676,0.2086,0.0417,0.6991,0,1
01/05/1982 00:00:00,35.4963,0.4014,220.4256,0.1730,0.3679,0.1027,0.0103,24.3319,4.8664,3.6727,0.7345,0.2295,0.0459,0.7689,0,1
01/06/1982 00:00:00,35.3966,0.5053,224.5576,0.1906,0.4617,0.0995,0.0100,25.7208,5.1442,3.8824,0.7765,0.2426,0.0485,0.6971,0,1
