#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: MHMAN02_03_2014
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20140101 TO 20141231
#LOCATION: Mandurah (Ocean Marina)
#Station Status:  Current
#Lat: -32.521944  Long: 115.714167
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart datum     which is   2.682   m below Benchmark   MAN TIDAL 02
#National Station ID:   NA
#Site Description: South west corner of Mandurah ocean marina.
#Tide Gauge Sensor:  Guided Wire Microwave Radar Gauge in stilling well Ø355mm, orifice Ø12mm.Travel time measurement of return signal
#Sensor Details: VEGA, Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
00086,20140101.0000/ 
00085,20140101.0005/ 
00085,20140101.0010/ 
00085,20140101.0015/ 
00083,20140101.0020/ 
00081,20140101.0025/ 
00080,20140101.0030/ 
00078,20140101.0035/ 
00078,20140101.0040/ 
00078,20140101.0045/ 
00076,20140101.0050/ 
00075,20140101.0055/ 
00074,20140101.0100/ 
00074,20140101.0105/ 
00074,20140101.0110/ 
00074,20140101.0115/ 
00073,20140101.0120/ 
00073,20140101.0125/ 
00072,20140101.0130/ 
00071,20140101.0135/ 
00071,20140101.0140/ 
00070,20140101.0145/ 
00069,20140101.0150/ 
00068,20140101.0155/ 
00068,20140101.0200/ 
00067,20140101.0205/ 
00067,20140101.0210/ 
00067,20140101.0215/ 
00066,20140101.0220/ 
00066,20140101.0225/ 
00066,20140101.0230/ 
00065,20140101.0235/ 
00065,20140101.0240/ 
00064,20140101.0245/ 
00063,20140101.0250/ 
00062,20140101.0255/ 
00061,20140101.0300/ 
00060,20140101.0305/ 
00059,20140101.0310/ 
00058,20140101.0315/ 
00057,20140101.0320/ 
00057,20140101.0325/ 
00056,20140101.0330/ 
00055,20140101.0335/ 
00054,20140101.0340/ 
00053,20140101.0345/ 
00052,20140101.0350/ 
00052,20140101.0355/ 
00052,20140101.0400/ 
00051,20140101.0405/ 
00050,20140101.0410/ 
00050,20140101.0415/ 
00050,20140101.0420/ 
00049,20140101.0425/ 
00049,20140101.0430/ 
00048,20140101.0435/ 
00049,20140101.0440/ 
00049,20140101.0445/ 
00048,20140101.0450/ 
00047,20140101.0455/ 
00047,20140101.0500/ 
00046,20140101.0505/ 
00046,20140101.0510/ 
00046,20140101.0515/ 
00046,20140101.0520/ 
00046,20140101.0525/ 
00046,20140101.0530/ 
00046,20140101.0535/ 
00045,20140101.0540/ 
00044,20140101.0545/ 
00044,20140101.0550/ 
00044,20140101.0555/ 
00044,20140101.0600/ 
00044,20140101.0605/ 
00044,20140101.0610/ 
00043,20140101.0615/ 
00043,20140101.0620/ 
00043,20140101.0625/ 
00044,20140101.0630/ 
00044,20140101.0635/ 
00044,20140101.0640/ 
00044,20140101.0645/ 
00043,20140101.0650/ 
00043,20140101.0655/ 
00043,20140101.0700/ 
00043,20140101.0705/ 
00043,20140101.0710/ 
00043,20140101.0715/ 
00043,20140101.0720/ 
00043,20140101.0725/ 
00043,20140101.0730/ 
00043,20140101.0735/ 
00043,20140101.0740/ 
00043,20140101.0745/ 
00044,20140101.0750/ 
00045,20140101.0755/ 
00045,20140101.0800/ 
00045,20140101.0805/ 
00044,20140101.0810/ 
00044,20140101.0815/ 
00045,20140101.0820/ 
00046,20140101.0825/ 
00046,20140101.0830/ 
00047,20140101.0835/ 
00047,20140101.0840/ 
00048,20140101.0845/ 
00048,20140101.0850/ 
00048,20140101.0855/ 
00048,20140101.0900/ 
00049,20140101.0905/ 
00049,20140101.0910/ 
00049,20140101.0915/ 
00050,20140101.0920/ 
00050,20140101.0925/ 
00051,20140101.0930/ 
00052,20140101.0935/ 
00052,20140101.0940/ 
00053,20140101.0945/ 
00053,20140101.0950/ 
00054,20140101.0955/ 
00054,20140101.1000/ 
00055,20140101.1005/ 
00055,20140101.1010/ 
00054,20140101.1015/ 
00054,20140101.1020/ 
00054,20140101.1025/ 
00054,20140101.1030/ 
00054,20140101.1035/ 
00054,20140101.1040/ 
00054,20140101.1045/ 
00056,20140101.1050/ 
00058,20140101.1055/ 
00059,20140101.1100/ 
00058,20140101.1105/ 
00058,20140101.1110/ 
00059,20140101.1115/ 
00059,20140101.1120/ 
00058,20140101.1125/ 
00057,20140101.1130/ 
00057,20140101.1135/ 
00057,20140101.1140/ 
00057,20140101.1145/ 
00056,20140101.1150/ 
00056,20140101.1155/ 
00055,20140101.1200/ 
00056,20140101.1205/ 
00059,20140101.1210/ 
00061,20140101.1215/ 
00060,20140101.1220/ 
00060,20140101.1225/ 
00060,20140101.1230/ 
00060,20140101.1235/ 
00060,20140101.1240/ 
00059,20140101.1245/ 
00057,20140101.1250/ 
00057,20140101.1255/ 
00058,20140101.1300/ 
00058,20140101.1305/ 
00057,20140101.1310/ 
00055,20140101.1315/ 
00056,20140101.1320/ 
00058,20140101.1325/ 
00060,20140101.1330/ 
00061,20140101.1335/ 
00061,20140101.1340/ 
00062,20140101.1345/ 
00062,20140101.1350/ 
00062,20140101.1355/ 
00062,20140101.1400/ 
00061,20140101.1405/ 
00061,20140101.1410/ 
00061,20140101.1415/ 
00062,20140101.1420/ 
00062,20140101.1425/ 
00062,20140101.1430/ 
00062,20140101.1435/ 
00061,20140101.1440/ 
00062,20140101.1445/ 
00064,20140101.1450/ 
00064,20140101.1455/ 
00063,20140101.1500/ 
00063,20140101.1505/ 
00065,20140101.1510/ 
00065,20140101.1515/ 
00063,20140101.1520/ 
00062,20140101.1525/ 
00062,20140101.1530/ 
00064,20140101.1535/ 
00065,20140101.1540/ 
00065,20140101.1545/ 
00065,20140101.1550/ 
00066,20140101.1555/ 
00068,20140101.1600/ 
00070,20140101.1605/ 
00069,20140101.1610/ 
00069,20140101.1615/ 
00071,20140101.1620/ 
00073,20140101.1625/ 
00073,20140101.1630/ 
00073,20140101.1635/ 
00073,20140101.1640/ 
00073,20140101.1645/ 
00074,20140101.1650/ 
00075,20140101.1655/ 
00075,20140101.1700/ 
00075,20140101.1705/ 
00075,20140101.1710/ 
00075,20140101.1715/ 
00076,20140101.1720/ 
00076,20140101.1725/ 
00077,20140101.1730/ 
00078,20140101.1735/ 
00078,20140101.1740/ 
00078,20140101.1745/ 
00078,20140101.1750/ 
00078,20140101.1755/ 
00079,20140101.1800/ 
00079,20140101.1805/ 
00080,20140101.1810/ 
00081,20140101.1815/ 
00082,20140101.1820/ 
00083,20140101.1825/ 
00083,20140101.1830/ 
00085,20140101.1835/ 
00086,20140101.1840/ 
00086,20140101.1845/ 
00086,20140101.1850/ 
00087,20140101.1855/ 
00088,20140101.1900/ 
00088,20140101.1905/ 
00088,20140101.1910/ 
00088,20140101.1915/ 
00088,20140101.1920/ 
00089,20140101.1925/ 
00089,20140101.1930/ 
00088,20140101.1935/ 
00088,20140101.1940/ 
00089,20140101.1945/ 
00090,20140101.1950/ 
00090,20140101.1955/ 
00090,20140101.2000/ 
00091,20140101.2005/ 
00092,20140101.2010/ 
00092,20140101.2015/ 
00093,20140101.2020/ 
00093,20140101.2025/ 
00093,20140101.2030/ 
00093,20140101.2035/ 
00094,20140101.2040/ 
00094,20140101.2045/ 
00095,20140101.2050/ 
00095,20140101.2055/ 
00094,20140101.2100/ 
00094,20140101.2105/ 
00095,20140101.2110/ 
00095,20140101.2115/ 
00096,20140101.2120/ 
00096,20140101.2125/ 
00096,20140101.2130/ 
00096,20140101.2135/ 
00096,20140101.2140/ 
00096,20140101.2145/ 
00097,20140101.2150/ 
00097,20140101.2155/ 
00097,20140101.2200/ 
00097,20140101.2205/ 
00096,20140101.2210/ 
00096,20140101.2215/ 
00096,20140101.2220/ 
00096,20140101.2225/ 
00096,20140101.2230/ 
00095,20140101.2235/ 
00095,20140101.2240/ 
00095,20140101.2245/ 
00095,20140101.2250/ 
00094,20140101.2255/ 
00093,20140101.2300/ 
00093,20140101.2305/ 
00093,20140101.2310/ 
00092,20140101.2315/ 
00091,20140101.2320/ 
00092,20140101.2325/ 
00092,20140101.2330/ 
00092,20140101.2335/ 
00091,20140101.2340/ 
00091,20140101.2345/ 
00092,20140101.2350/ 
