#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: MHMAN02_03_2020
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20200101 TO 20201231
#LOCATION: Mandurah (Ocean Marina)
#Station Status: Current
#Lat: -32.521931 Long: 115.714178 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: Chart datum  which is  2.682 m below Benchmark MAN TIDAL 02
#National Station ID: NA
#Site Description: South west corner of Mandurah ocean marina.
#Tide Gauge Sensor: Guided Wire Microwave Radar Gauge in stilling well Ø355mm, orifice Ø12mm.Travel time measurement of return signal
#Sensor Details: VEGA, Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
   61,20200101.0000/
   60,20200101.0005/
   60,20200101.0010/
   61,20200101.0015/
   60,20200101.0020/
   59,20200101.0025/
   60,20200101.0030/
   61,20200101.0035/
   59,20200101.0040/
   58,20200101.0045/
   59,20200101.0050/
   60,20200101.0055/
   60,20200101.0100/
   59,20200101.0105/
   59,20200101.0110/
   59,20200101.0115/
   60,20200101.0120/
   60,20200101.0125/
   60,20200101.0130/
   59,20200101.0135/
   60,20200101.0140/
   61,20200101.0145/
   61,20200101.0150/
   59,20200101.0155/
   57,20200101.0200/
   57,20200101.0205/
   57,20200101.0210/
   56,20200101.0215/
   55,20200101.0220/
   53,20200101.0225/
   52,20200101.0230/
   51,20200101.0235/
   52,20200101.0240/
   52,20200101.0245/
   52,20200101.0250/
   54,20200101.0255/
   54,20200101.0300/
   54,20200101.0305/
   53,20200101.0310/
   51,20200101.0315/
   51,20200101.0320/
   51,20200101.0325/
   50,20200101.0330/
   50,20200101.0335/
   49,20200101.0340/
   49,20200101.0345/
   48,20200101.0350/
   48,20200101.0355/
   47,20200101.0400/
   47,20200101.0405/
   48,20200101.0410/
   48,20200101.0415/
   47,20200101.0420/
   45,20200101.0425/
   46,20200101.0430/
   45,20200101.0435/
   44,20200101.0440/
   44,20200101.0445/
   45,20200101.0450/
   45,20200101.0455/
   44,20200101.0500/
   43,20200101.0505/
   42,20200101.0510/
   42,20200101.0515/
   42,20200101.0520/
   41,20200101.0525/
   41,20200101.0530/
   39,20200101.0535/
   38,20200101.0540/
   38,20200101.0545/
   38,20200101.0550/
   37,20200101.0555/
   36,20200101.0600/
   35,20200101.0605/
   35,20200101.0610/
   36,20200101.0615/
   36,20200101.0620/
   36,20200101.0625/
   36,20200101.0630/
   36,20200101.0635/
   36,20200101.0640/
   37,20200101.0645/
   38,20200101.0650/
   38,20200101.0655/
   36,20200101.0700/
   35,20200101.0705/
   34,20200101.0710/
   34,20200101.0715/
   35,20200101.0720/
   35,20200101.0725/
   34,20200101.0730/
   34,20200101.0735/
   34,20200101.0740/
   34,20200101.0745/
   34,20200101.0750/
   34,20200101.0755/
   34,20200101.0800/
   34,20200101.0805/
   33,20200101.0810/
   32,20200101.0815/
   32,20200101.0820/
   32,20200101.0825/
   32,20200101.0830/
   32,20200101.0835/
   32,20200101.0840/
   33,20200101.0845/
   34,20200101.0850/
   34,20200101.0855/
   34,20200101.0900/
   34,20200101.0905/
   35,20200101.0910/
   36,20200101.0915/
   36,20200101.0920/
   35,20200101.0925/
   35,20200101.0930/
   35,20200101.0935/
   36,20200101.0940/
   36,20200101.0945/
   35,20200101.0950/
   36,20200101.0955/
   37,20200101.1000/
   37,20200101.1005/
   37,20200101.1010/
   36,20200101.1015/
   35,20200101.1020/
   37,20200101.1025/
   38,20200101.1030/
   37,20200101.1035/
   36,20200101.1040/
   35,20200101.1045/
   36,20200101.1050/
   36,20200101.1055/
   37,20200101.1100/
   37,20200101.1105/
   36,20200101.1110/
   36,20200101.1115/
   36,20200101.1120/
   36,20200101.1125/
   37,20200101.1130/
   38,20200101.1135/
   39,20200101.1140/
   38,20200101.1145/
   38,20200101.1150/
   39,20200101.1155/
   40,20200101.1200/
   39,20200101.1205/
   40,20200101.1210/
   40,20200101.1215/
   40,20200101.1220/
   39,20200101.1225/
   39,20200101.1230/
   39,20200101.1235/
   40,20200101.1240/
   41,20200101.1245/
   40,20200101.1250/
   39,20200101.1255/
   40,20200101.1300/
   41,20200101.1305/
   40,20200101.1310/
   38,20200101.1315/
   37,20200101.1320/
   38,20200101.1325/
   40,20200101.1330/
   40,20200101.1335/
   39,20200101.1340/
   38,20200101.1345/
   39,20200101.1350/
   41,20200101.1355/
   43,20200101.1400/
   43,20200101.1405/
   43,20200101.1410/
   44,20200101.1415/
   46,20200101.1420/
   47,20200101.1425/
   46,20200101.1430/
   47,20200101.1435/
   46,20200101.1440/
   45,20200101.1445/
   45,20200101.1450/
   45,20200101.1455/
   45,20200101.1500/
   43,20200101.1505/
   42,20200101.1510/
   41,20200101.1515/
   41,20200101.1520/
   41,20200101.1525/
   42,20200101.1530/
   42,20200101.1535/
   42,20200101.1540/
   43,20200101.1545/
   42,20200101.1550/
   42,20200101.1555/
   41,20200101.1600/
   42,20200101.1605/
