Date,Salinity Surface,Salinity Bottom,Salinity Mean,Temperature Surface,Temperature Bottom,Temperature Mean
01-01-2022 00:00:00,35.6504,35.5518,35.5907,21.6074,20.4619,20.9976
01-01-2022 03:00:00,35.6494,35.5527,35.5881,21.6348,20.4404,20.9672
01-01-2022 06:00:00,35.6670,35.5547,35.5913,21.8320,20.4199,21.0201
01-01-2022 09:00:00,35.6660,35.5557,35.5933,21.8516,20.3984,21.0766
01-01-2022 12:00:00,35.6523,35.5566,35.5980,21.7588,20.3770,21.1501
01-01-2022 15:00:00,35.6357,35.5586,35.5982,21.6973,20.3643,21.1933
01-01-2022 18:00:00,35.6211,35.5605,35.5933,21.6426,20.3613,21.1734
01-01-2022 21:00:00,35.6250,35.5625,35.5921,21.5889,20.3662,21.0722
02-01-2022 00:00:00,35.6367,35.5625,35.5914,21.5615,20.3574,20.9803
02-01-2022 03:00:00,35.6494,35.5635,35.5882,21.7227,20.3311,20.9513
02-01-2022 06:00:00,35.6553,35.5625,35.5879,21.8369,20.3037,21.0024
02-01-2022 09:00:00,35.6523,35.5625,35.5966,21.8389,20.2871,21.1724
02-01-2022 12:00:00,35.6377,35.5615,35.6037,21.7354,20.2939,21.3173
02-01-2022 15:00:00,35.6221,35.5625,35.6027,21.6553,20.3301,21.3686
02-01-2022 18:00:00,35.6152,35.5625,35.5979,21.6064,20.3906,21.3080
02-01-2022 21:00:00,35.6260,35.5635,35.5964,21.5771,20.4346,21.1625
03-01-2022 00:00:00,35.6455,35.5635,35.5948,21.5762,20.4414,21.0526
03-01-2022 03:00:00,35.6543,35.5635,35.5917,21.6855,20.4365,21.0711
03-01-2022 06:00:00,35.6494,35.5635,35.5935,21.7910,20.4375,21.2053
03-01-2022 09:00:00,35.6348,35.5625,35.5956,21.8057,20.4600,21.3598
03-01-2022 12:00:00,35.6172,35.5615,35.5954,21.7422,20.5215,21.4579
03-01-2022 15:00:00,35.6123,35.5586,35.5978,21.7051,20.6279,21.5082
03-01-2022 18:00:00,35.6221,35.5586,35.6030,21.6787,20.7002,21.4859
03-01-2022 21:00:00,35.6328,35.5576,35.6009,21.6377,20.7061,21.3493
04-01-2022 00:00:00,35.6279,35.5576,35.5956,21.5771,20.6865,21.2597
04-01-2022 03:00:00,35.6201,35.5586,35.5881,21.6885,20.6729,21.2740
04-01-2022 06:00:00,35.6074,35.5586,35.5777,21.9307,20.6875,21.3433
04-01-2022 09:00:00,35.5889,35.5576,35.5725,21.9629,20.7168,21.4544
04-01-2022 12:00:00,35.5840,35.5576,35.5736,21.9043,20.7588,21.5571
04-01-2022 15:00:00,35.5859,35.5576,35.5768,21.8486,20.8281,21.6140
04-01-2022 18:00:00,35.5928,35.5576,35.5818,21.8027,20.9316,21.6313
04-01-2022 21:00:00,35.6045,35.5596,35.5830,21.7588,20.9629,21.4634
05-01-2022 00:00:00,35.6123,35.5605,35.5834,21.6592,20.8359,21.2513
05-01-2022 03:00:00,35.6260,35.5605,35.5890,21.9170,20.7441,21.3178
05-01-2022 06:00:00,35.6221,35.5605,35.5878,22.3271,20.7480,21.3877
05-01-2022 09:00:00,35.5996,35.5605,35.5843,22.0879,20.7988,21.4439
05-01-2022 12:00:00,35.5957,35.5625,35.5860,21.9531,20.8926,21.5466
05-01-2022 15:00:00,35.5967,35.5664,35.5905,21.9102,21.0352,21.6852
05-01-2022 18:00:00,35.6006,35.5723,35.5945,21.8945,21.1680,21.7389
05-01-2022 21:00:00,35.6084,35.5762,35.5982,21.8691,21.2275,21.7121
06-01-2022 00:00:00,35.6240,35.5781,35.5982,21.8916,21.2656,21.6229
06-01-2022 03:00:00,35.6426,35.5781,35.5915,22.0850,21.2451,21.4873
06-01-2022 06:00:00,35.6309,35.5762,35.5884,22.1562,21.2061,21.4958
06-01-2022 09:00:00,35.6123,35.5762,35.5915,22.0479,21.2061,21.6988
06-01-2022 12:00:00,35.6016,35.5781,35.5912,22.0742,21.2207,21.8205
06-01-2022 15:00:00,35.5977,35.5781,35.5878,22.0234,21.2490,21.7387
06-01-2022 18:00:00,35.6045,35.5762,35.5863,21.9160,21.2246,21.5951
06-01-2022 21:00:00,35.6055,35.5723,35.5859,21.7881,21.1152,21.5224
07-01-2022 00:00:00,35.6094,35.5703,35.5875,21.7666,20.9873,21.4895
07-01-2022 03:00:00,35.6143,35.5684,35.5841,21.9756,20.9111,21.4721
07-01-2022 06:00:00,35.6064,35.5674,35.5791,22.2402,20.9033,21.5448
07-01-2022 09:00:00,35.5938,35.5674,35.5749,22.3086,20.9102,21.6282
07-01-2022 12:00:00,35.5889,35.5664,35.5758,22.2383,20.8945,21.6605
07-01-2022 15:00:00,35.6074,35.5654,35.5879,22.1787,20.8594,21.7083
07-01-2022 18:00:00,35.6455,35.5615,35.6018,22.0967,20.7832,21.5693
07-01-2022 21:00:00,35.6738,35.5596,35.6006,22.0518,20.6943,21.4098
08-01-2022 00:00:00,35.6816,35.5586,35.5970,22.0439,20.6328,21.3594
08-01-2022 03:00:00,35.6680,35.5586,35.5984,22.1172,20.6221,21.4532
08-01-2022 06:00:00,35.6357,35.5586,35.5914,22.1572,20.6426,21.5468
08-01-2022 09:00:00,35.6299,35.5557,35.5915,22.1318,20.6709,21.5704
08-01-2022 12:00:00,35.6387,35.5508,35.6052,21.9707,20.6992,21.5840
08-01-2022 15:00:00,35.6426,35.5488,35.6064,21.7529,20.6650,21.4037
08-01-2022 18:00:00,35.6514,35.5479,35.6054,21.5908,20.5088,21.1726
08-01-2022 21:00:00,35.6475,35.5488,35.6009,21.4668,20.3467,21.0213
09-01-2022 00:00:00,35.6533,35.5498,35.6008,21.4531,20.2285,20.9518
09-01-2022 03:00:00,35.6719,35.5488,35.6041,21.5801,20.1611,20.9467
09-01-2022 06:00:00,35.6953,35.5479,35.6069,21.7832,20.0947,20.9498
09-01-2022 09:00:00,35.6904,35.5469,35.6155,21.7539,20.0137,21.0475
09-01-2022 12:00:00,35.6689,35.5459,35.6296,21.6270,19.9912,21.2340
09-01-2022 15:00:00,35.6543,35.5469,35.6175,21.5469,20.0566,21.1122
09-01-2022 18:00:00,35.6611,35.5449,35.5994,21.4893,19.9854,20.8040
09-01-2022 21:00:00,35.6680,35.5439,35.5907,21.3447,19.9268,20.6168
10-01-2022 00:00:00,35.6543,35.5430,35.5963,21.1953,19.8652,20.6484
10-01-2022 03:00:00,35.6699,35.5420,35.6046,21.3711,19.8203,20.7493
10-01-2022 06:00:00,35.6875,35.5420,35.6114,21.7910,19.8271,20.8777
10-01-2022 09:00:00,35.6836,35.5430,35.6207,21.6455,19.8789,21.0264
10-01-2022 12:00:00,35.6699,35.5469,35.6321,21.5342,20.1230,21.2092
10-01-2022 15:00:00,35.6543,35.5498,35.6255,21.4668,20.1045,21.1647
10-01-2022 18:00:00,35.6514,35.5410,35.6037,21.4043,19.8223,20.7968
10-01-2022 21:00:00,35.6709,35.5391,35.6032,21.3955,19.7305,20.6835
11-01-2022 00:00:00,35.6719,35.5391,35.5981,21.3262,19.6904,20.6374
11-01-2022 03:00:00,35.6777,35.5391,35.6033,21.5752,19.7471,20.7546
11-01-2022 06:00:00,35.6816,35.5420,35.6164,21.8496,19.9053,20.9527
11-01-2022 09:00:00,35.6807,35.5488,35.6304,21.7754,20.1123,21.1426
11-01-2022 12:00:00,35.6768,35.5596,35.6414,21.6768,20.3750,21.2849
11-01-2022 15:00:00,35.6768,35.5605,35.6373,21.6074,20.3242,21.2153
11-01-2022 18:00:00,35.6875,35.5420,35.6129,21.5625,19.9375,20.8457
11-01-2022 21:00:00,35.6953,35.5391,35.6166,21.5430,19.8604,20.8467
12-01-2022 00:00:00,35.6982,35.5391,35.6181,21.5508,19.8545,20.8725
12-01-2022 03:00:00,35.7012,35.5391,35.6206,21.8574,19.9053,20.9621
12-01-2022 06:00:00,35.6953,35.5400,35.6249,22.0723,20.0205,21.1085
12-01-2022 09:00:00,35.6650,35.5459,35.6279,22.0186,20.2559,21.3044
12-01-2022 12:00:00,35.6631,35.5518,35.6336,21.8135,20.4170,21.3656
12-01-2022 15:00:00,35.6719,35.5518,35.6309,21.6924,20.3525,21.2525
12-01-2022 18:00:00,35.6924,35.5449,35.6231,21.6670,20.2842,21.1141
12-01-2022 21:00:00,35.6846,35.5410,35.6191,21.5254,20.2354,21.0638
13-01-2022 00:00:00,35.6621,35.5410,35.6136,21.4541,20.2451,21.0507
13-01-2022 03:00:00,35.6602,35.5410,35.6136,21.5312,20.2793,21.1033
13-01-2022 06:00:00,35.6582,35.5400,35.6107,21.7373,20.3164,21.2071
13-01-2022 09:00:00,35.6670,35.5400,35.6094,21.7930,20.3438,21.2547
13-01-2022 12:00:00,35.6807,35.5391,35.6130,21.7393,20.3213,21.1868
13-01-2022 15:00:00,35.6953,35.5381,35.6280,21.7051,20.2852,21.2126
13-01-2022 18:00:00,35.7100,35.5381,35.6418,21.6943,20.2773,21.2546
13-01-2022 21:00:00,35.6992,35.5381,35.6375,21.6162,20.2920,21.2006
14-01-2022 00:00:00,35.6982,35.5381,35.6269,21.5977,20.2705,21.0881
14-01-2022 03:00:00,35.6982,35.5371,35.6272,21.7031,20.2061,21.1068
14-01-2022 06:00:00,35.6953,35.5371,35.6268,21.8477,20.1592,21.1935
14-01-2022 09:00:00,35.7207,35.5361,35.6305,21.9170,20.1172,21.1776
14-01-2022 12:00:00,35.7520,35.5361,35.6424,21.8936,20.0498,21.1179
14-01-2022 15:00:00,35.7686,35.5352,35.6647,21.8467,19.9834,21.1623
14-01-2022 18:00:00,35.7822,35.5352,35.6754,21.8232,19.9385,21.1643
14-01-2022 21:00:00,35.7812,35.5352,35.6689,21.7588,19.8994,21.0489
15-01-2022 00:00:00,35.7822,35.5342,35.6605,21.7334,19.8535,20.9361
15-01-2022 03:00:00,35.7979,35.5342,35.6680,21.8564,19.8125,20.9853
15-01-2022 06:00:00,35.8096,35.5332,35.6821,21.9629,19.7852,21.1221
15-01-2022 09:00:00,35.7988,35.5332,35.6862,21.9316,19.7734,21.1816
15-01-2022 12:00:00,35.7754,35.5332,35.6788,21.8203,19.7559,21.1324
15-01-2022 15:00:00,35.7412,35.5332,35.6593,21.6973,19.7217,21.0254
15-01-2022 18:00:00,35.7324,35.5322,35.6436,21.6143,19.6729,20.8865
15-01-2022 21:00:00,35.7256,35.5303,35.6318,21.5068,19.6074,20.7350
16-01-2022 00:00:00,35.7295,35.5283,35.6275,21.4971,19.5430,20.6637
16-01-2022 03:00:00,35.7393,35.5244,35.6261,21.5967,19.4717,20.6645
16-01-2022 06:00:00,35.7363,35.5215,35.6267,21.6787,19.4014,20.7248
16-01-2022 09:00:00,35.7129,35.5166,35.6255,21.6514,19.3281,20.8000
16-01-2022 12:00:00,35.6846,35.5127,35.6185,21.5889,19.2529,20.8124
16-01-2022 15:00:00,35.6777,35.5059,35.6079,21.5371,19.1621,20.6677
16-01-2022 18:00:00,35.6914,35.4980,35.6009,21.4688,19.0586,20.4748
16-01-2022 21:00:00,35.7051,35.4893,35.5968,21.4199,18.9346,20.3517
17-01-2022 00:00:00,35.7148,35.4814,35.5937,21.4229,18.8340,20.2991
17-01-2022 03:00:00,35.7266,35.4736,35.5968,21.6260,18.7559,20.3771
17-01-2022 06:00:00,35.7246,35.4688,35.6116,21.8213,18.7061,20.5849
17-01-2022 09:00:00,35.7012,35.4668,35.6250,21.7822,18.6855,20.7837
17-01-2022 12:00:00,35.7002,35.4658,35.6336,21.7012,18.6777,20.8513
17-01-2022 15:00:00,35.7090,35.4648,35.6316,21.6699,18.6699,20.7602
17-01-2022 18:00:00,35.7188,35.4619,35.6161,21.6455,18.6367,20.5156
17-01-2022 21:00:00,35.7246,35.4600,35.6045,21.6064,18.6123,20.3609
18-01-2022 00:00:00,35.7256,35.4600,35.5988,21.5869,18.6230,20.3201
18-01-2022 03:00:00,35.7295,35.4590,35.6060,21.9062,18.6348,20.4301
18-01-2022 06:00:00,35.7314,35.4619,35.6368,22.5439,18.6943,20.7710
18-01-2022 09:00:00,35.7256,35.4678,35.6651,22.8672,18.8252,21.1089
18-01-2022 12:00:00,35.7168,35.4756,35.6756,22.5176,18.9277,21.2740
18-01-2022 15:00:00,35.7207,35.4834,35.6705,22.2705,19.0303,21.1938
18-01-2022 18:00:00,35.7314,35.4893,35.6434,22.0605,19.0840,20.8286
18-01-2022 21:00:00,35.7295,35.4932,35.6320,21.8252,19.1494,20.6847
19-01-2022 00:00:00,35.7285,35.4990,35.6362,21.7393,19.2354,20.7267
19-01-2022 03:00:00,35.7295,35.5039,35.6408,22.0293,19.3350,20.8100
19-01-2022 06:00:00,35.7227,35.5098,35.6716,22.5967,19.4834,21.2329
19-01-2022 09:00:00,35.7051,35.5332,35.6885,22.8721,19.8721,21.5482
19-01-2022 12:00:00,35.7139,35.5615,35.6940,22.5508,20.1904,21.6172
19-01-2022 15:00:00,35.7412,35.5781,35.6796,22.4131,20.2822,21.3707
19-01-2022 18:00:00,35.7305,35.5762,35.6464,22.1211,20.3135,21.0852
19-01-2022 21:00:00,35.7354,35.5674,35.6348,22.0508,20.2129,21.0305
20-01-2022 00:00:00,35.7305,35.5449,35.6330,21.9561,19.9629,21.0445
20-01-2022 03:00:00,35.7227,35.5312,35.6377,22.3486,19.8115,21.1503
20-01-2022 06:00:00,35.7100,35.5303,35.6439,22.9355,19.8408,21.2963
20-01-2022 09:00:00,35.6865,35.5332,35.6522,22.8643,19.8809,21.4741
20-01-2022 12:00:00,35.6729,35.5371,35.6523,22.5605,19.9561,21.6202
20-01-2022 15:00:00,35.6973,35.5400,35.6495,22.4873,19.9990,21.5147
20-01-2022 18:00:00,35.6953,35.5430,35.6438,22.3555,20.0586,21.3801
20-01-2022 21:00:00,35.6934,35.5449,35.6404,22.1377,20.1182,21.2975
21-01-2022 00:00:00,35.7021,35.5459,35.6313,22.1865,20.1543,21.1974
21-01-2022 03:00:00,35.7129,35.5488,35.6283,22.6953,20.2178,21.2119
21-01-2022 06:00:00,35.7119,35.5527,35.6326,23.3252,20.2891,21.3277
21-01-2022 09:00:00,35.7061,35.5566,35.6483,23.4639,20.3682,21.6643
21-01-2022 12:00:00,35.6846,35.5654,35.6533,22.8877,20.4902,21.8721
21-01-2022 15:00:00,35.7031,35.5752,35.6521,22.8955,20.6016,21.8011
21-01-2022 18:00:00,35.6973,35.5840,35.6455,22.6475,20.7119,21.6321
21-01-2022 21:00:00,35.6904,35.5947,35.6393,22.3896,20.8330,21.4834
22-01-2022 00:00:00,35.6885,35.6025,35.6360,22.2510,20.9189,21.4054
22-01-2022 03:00:00,35.6865,35.6064,35.6405,22.6309,20.9717,21.5133
22-01-2022 06:00:00,35.6895,35.6123,35.6454,23.3203,21.0625,21.6864
22-01-2022 09:00:00,35.6982,35.6240,35.6579,23.2949,21.1963,21.9852
22-01-2022 12:00:00,35.6953,35.6357,35.6614,23.1182,21.3398,22.0700
22-01-2022 15:00:00,35.6777,35.6436,35.6495,22.6445,21.4072,21.7949
22-01-2022 18:00:00,35.6719,35.6465,35.6435,22.4268,21.4326,21.7200
22-01-2022 21:00:00,35.6797,35.6436,35.6386,22.3965,21.4258,21.6818
23-01-2022 00:00:00,35.6953,35.6396,35.6377,22.4502,21.4111,21.7213
23-01-2022 03:00:00,35.7061,35.6406,35.6388,22.8936,21.4141,21.8087
23-01-2022 06:00:00,35.6973,35.6504,35.6446,23.1982,21.4424,21.9668
23-01-2022 09:00:00,35.6748,35.6582,35.6570,23.0762,21.4746,22.1805
23-01-2022 12:00:00,35.6562,35.6621,35.6584,22.7197,21.4844,22.2634
23-01-2022 15:00:00,35.6660,35.6504,35.6556,22.6260,21.4482,22.2033
23-01-2022 18:00:00,35.6816,35.6260,35.6461,22.4658,21.3750,21.8913
23-01-2022 21:00:00,35.6816,35.6045,35.6335,22.2998,21.2705,21.6965
24-01-2022 00:00:00,35.6719,35.5918,35.6215,22.0547,21.1719,21.5279
24-01-2022 03:00:00,35.6689,35.5859,35.6200,21.9854,21.1035,21.5027
24-01-2022 06:00:00,35.6787,35.5830,35.6288,22.0703,21.0566,21.5956
24-01-2022 09:00:00,35.6826,35.5811,35.6305,22.1240,21.0254,21.6361
24-01-2022 12:00:00,35.6787,35.5811,35.6322,22.1113,21.0068,21.6558
24-01-2022 15:00:00,35.6797,35.5781,35.6323,22.0771,20.9746,21.6259
24-01-2022 18:00:00,35.6885,35.5703,35.6264,22.0186,20.9092,21.5129
24-01-2022 21:00:00,35.6895,35.5576,35.6145,21.9502,20.8145,21.3767
25-01-2022 00:00:00,35.6455,35.5557,35.5949,21.6377,20.7305,21.1692
25-01-2022 03:00:00,35.6807,35.5557,35.6025,21.8682,20.6484,21.1814
25-01-2022 06:00:00,35.7461,35.5576,35.6261,22.3975,20.6025,21.3757
25-01-2022 09:00:00,35.7656,35.5576,35.6341,22.4980,20.5811,21.4716
25-01-2022 12:00:00,35.7773,35.5576,35.6508,22.4893,20.5527,21.6035
25-01-2022 15:00:00,35.7812,35.5557,35.6774,22.5088,20.5264,21.7917
25-01-2022 18:00:00,35.7832,35.5518,35.6782,22.5166,20.5020,21.7382
25-01-2022 21:00:00,35.7910,35.5479,35.6496,22.4834,20.4766,21.4479
26-01-2022 00:00:00,35.8086,35.5469,35.6320,22.4844,20.4297,21.2716
26-01-2022 03:00:00,35.8281,35.5449,35.6338,22.6133,20.3760,21.3137
26-01-2022 06:00:00,35.8389,35.5439,35.6574,22.7695,20.3457,21.5748
26-01-2022 09:00:00,35.8232,35.5430,35.6757,22.6914,20.3496,21.7704
26-01-2022 12:00:00,35.7988,35.5420,35.6880,22.5654,20.3838,21.8625
26-01-2022 15:00:00,35.7637,35.5400,35.6979,22.4521,20.4326,21.9658
26-01-2022 18:00:00,35.7461,35.5391,35.6868,22.3760,20.4570,21.8911
26-01-2022 21:00:00,35.7705,35.5371,35.6710,22.3965,20.4463,21.6606
27-01-2022 00:00:00,35.7871,35.5371,35.6548,22.3984,20.4004,21.4748
